,Value,Active bound,Rob. Std err,Rob. t-test,Rob. p-value
ASC_Bike,-3.380372791962001,0.0,0.13127613348961029,-25.7500941115815,0.0
ASC_Car,-2.5918700206453726,0.0,0.07624094618332299,-33.99577458565592,0.0
ASC_Public_Transport,-1.9080556393978938,0.0,0.07755177965625251,-24.603634473062144,0.0
B_age_Bike,-0.0037200491775684964,0.0,0.0017361663027394367,-2.1426802096658366,0.032138785558302185
B_age_Car,0.004951146377934668,0.0,0.0009237904074327839,5.359599253356524,8.340676083129495e-08
B_age_Public_Transport,0.011370057829128125,0.0,0.0008623751798620721,13.184583803706696,0.0
B_car_ownership_Bike,0.03571932157176827,0.0,0.0663311188925136,0.5385002117882215,0.5902317589396067
B_car_ownership_Car,0.6942358794564131,0.0,0.03436887383640083,20.19955273370443,0.0
B_car_ownership_Public_Transport,-0.2132469091301315,0.0,0.03863571843153018,-5.51942393689522,3.401127712798768e-08
B_con_charge_Car,-1.1465233684505893,0.0,0.06210698560073382,-18.460457505073997,0.0
B_cost_driving_fuel_Car,0.0,1.0,0.08907960945658414,0.0,1.0
B_cost_transit_Public_Transport,-0.1154406592848044,0.0,0.011919385250947614,-9.685118557236553,0.0
B_day_of_week_Bike,-0.020487768697267983,0.0,0.01603093226822409,-1.2780148000424196,0.20124420788668118
B_day_of_week_Car,0.02973303499597698,0.0,0.008485285064037148,3.504070254751174,0.00045820445825928147
B_day_of_week_Public_Transport,-0.04390540204327655,0.0,0.008557664335120176,-5.1305356606581585,2.889188162047418e-07
B_distance_Bike,-0.23169008793731394,0.0,0.11282338723221946,-2.0535643683559717,0.04001787377277166
B_distance_Car,0.0,1.0,0.10377069055976174,0.0,1.0
B_distance_Public_Transport,0.0,1.0,0.10401502145022566,0.0,1.0
B_driving_license_Bike,0.6778145817532293,0.0,0.07551994594096846,8.975305441598904,0.0
B_driving_license_Car,0.6630193629609088,0.0,0.03900462633499772,16.998480058915494,0.0
B_driving_license_Public_Transport,-0.5261400365506166,0.0,0.038295598671218255,-13.738916606780888,0.0
B_dur_cycling_Bike,-2.6704561499496,0.0,0.6242112910467172,-4.278128557193525,1.884711673838524e-05
B_dur_driving_Car,-4.777462274154969,0.0,0.22243788188964514,-21.47773676664095,0.0
B_dur_pt_access_Public_Transport,-4.608049027289469,0.0,0.15949876108580766,-28.890813921811066,0.0
B_dur_pt_bus_Public_Transport,-1.910748951627147,0.0,0.1169165687395518,-16.342841499938395,0.0
B_dur_pt_int_waiting_Public_Transport,-4.283869148032808,0.0,0.6181209068838355,-6.9304712076951045,4.1944225870338414e-12
B_dur_pt_int_walking_Public_Transport,-2.334556284855488,0.0,1.0530748727663908,-2.2168948716084076,0.026630276297834543
B_dur_pt_rail_Public_Transport,-1.3376263962502812,0.0,0.22327435011703003,-5.990954158187717,2.0861343763556306e-09
B_dur_walking_Walk,-8.595696775377764,0.0,0.4284929089154139,-20.060301107747353,0.0
B_female_Bike,-0.8335764193759613,0.0,0.06346289679684497,-13.13486243851072,0.0
B_female_Car,0.10014748228273285,0.0,0.0316709494810492,3.1621244049742696,0.0015662263735249926
B_female_Public_Transport,0.16005811154344685,0.0,0.032091753383011484,4.9875153168844095,6.116077220230665e-07
B_fueltype_Avrg_Bike,-0.6907992900197371,0.0,0.09329027262754896,-7.4048372950701555,1.312283615106935e-13
B_fueltype_Avrg_Car,-1.400387950417699,0.0,0.052382760421990145,-26.733756280431145,0.0
B_fueltype_Avrg_Public_Transport,-0.22103070075838568,0.0,0.05442463172648757,-4.061225473590365,4.88157972440284e-05
B_fueltype_Diesel_Bike,-0.8224737321170155,0.0,0.09769479007686567,-8.418808530832587,0.0
B_fueltype_Diesel_Car,-0.2283426858255931,0.0,0.04999891188955349,-4.566953103499475,4.948646685321023e-06
B_fueltype_Diesel_Public_Transport,-0.418664598387213,0.0,0.05616689761985939,-7.45393846070612,9.059419880941277e-14
B_fueltype_Hybrid_Bike,-1.000335986316064,0.0,0.2674257292705466,-3.740612352613439,0.00018357246365274804
B_fueltype_Hybrid_Car,-0.7214338405672519,0.0,0.13444700487504654,-5.365934638988381,8.053110245320738e-08
B_fueltype_Hybrid_Public_Transport,-0.9453416296870215,0.0,0.15405770215163772,-6.136282811465859,8.447471611106039e-10
B_fueltype_Petrol_Bike,-0.8667637835077774,0.0,0.08943525105832689,-9.691522897861615,0.0
B_fueltype_Petrol_Car,-0.2417055438318577,0.0,0.04581433982789108,-5.275761797285814,1.3220572436800637e-07
B_fueltype_Petrol_Public_Transport,-0.3230187105762522,0.0,0.050742589096791565,-6.365830288243541,1.9423618269343024e-10
B_pt_n_interchanges_Public_Transport,-0.10065316440379356,0.0,0.07058902655853704,-1.4259038452715505,0.15389609932843418
B_purpose_B_Bike,-0.028679121062160327,0.0,0.10047605649134791,-0.2854323911949103,0.7753128946259897
B_purpose_B_Car,-0.04341173163211496,0.0,0.07130866426979525,-0.6087862124000435,0.5426661536483937
B_purpose_B_Public_Transport,-0.011549374878222708,0.0,0.07256951623658311,-0.15914912317412608,0.8735513866860933
B_purpose_HBE_Bike,-1.054406506708229,0.0,0.08994733024367266,-11.72248808110012,0.0
B_purpose_HBE_Car,-0.7559729553992652,0.0,0.040571113615478875,-18.633280874766104,0.0
B_purpose_HBE_Public_Transport,-0.23699223597049898,0.0,0.03885695722702742,-6.099094033169849,1.0667131622454917e-09
B_purpose_HBO_Bike,-0.7732904129729363,0.0,0.06309785163969908,-12.255415879903074,0.0
B_purpose_HBO_Car,-0.35219624713570213,0.0,0.03365191157138325,-10.465861542177624,0.0
B_purpose_HBO_Public_Transport,-0.4421954201717007,0.0,0.03427611012988282,-12.900980259897784,0.0
B_purpose_HBW_Bike,-0.29128441448333176,0.0,0.07494126909429175,-3.886835891674522,0.00010155936319966585
B_purpose_HBW_Car,-1.0617012207151377,0.0,0.054382791548245456,-19.522742222109986,0.0
B_purpose_HBW_Public_Transport,-0.5022799470679364,0.0,0.05394765177234467,-9.31050621420044,0.0
B_purpose_NHBO_Bike,-1.232712336733335,0.0,0.08790769064247024,-14.022804236172064,0.0
B_purpose_NHBO_Car,-0.378587865759186,0.0,0.04055143362327236,-9.335992144601157,0.0
B_purpose_NHBO_Public_Transport,-0.7150386613180402,0.0,0.0418615002593895,-17.081056743962673,0.0
B_start_time_linear_Bike,0.016931789209560337,0.0,0.006935142381920487,2.441447958401046,0.014628496574943917
B_start_time_linear_Car,0.02714183750351869,0.0,0.004066619925460772,6.674299049583141,2.4841684265197728e-11
B_start_time_linear_Public_Transport,0.009897648877301513,0.0,0.004091693183010125,2.4189616460978476,0.015564881251018292
B_traffic_perc_Car,-2.403606286798372,0.0,0.08588661852343851,-27.985806498394467,0.0
