,Value,Active bound,Rob. Std err,Rob. t-test,Rob. p-value
ASC_Bike,-3.3457302701021256,0.0,0.1298082124524687,-25.774411394249935,0.0
ASC_Car,-2.4389368807552496,0.0,0.07577155467595192,-32.188027435700874,0.0
ASC_Public_Transport,-1.9686038324320054,0.0,0.07376496407603299,-26.68751835089181,0.0
B_age_Bike,-0.003829623523044734,0.0,0.0017175888872635612,-2.229650850353391,0.025770631194135474
B_age_Car,0.006634921892177019,0.0,0.0008915952758754987,7.441629707674126,9.947598300641403e-14
B_age_Public_Transport,0.011360555640714858,0.0,0.0008242994008582983,13.782074363860664,0.0
B_car_ownership_Bike,0.062241390558228527,0.0,0.06672016944704715,0.9328721895352315,0.3508859629034897
B_car_ownership_Car,0.6279399291788692,0.0,0.03443476476322107,18.235638706890676,0.0
B_car_ownership_Public_Transport,-0.03734800907852609,0.0,0.0415998735701061,-0.8977914083220815,0.3692967659860704
B_con_charge_Car,-0.8162847779146095,0.0,0.06263090674251676,-13.033258184660411,0.0
B_cost_driving_fuel_Car,0.0,1.0,0.06690528419554055,0.0,1.0
B_cost_transit_Public_Transport,-0.07706819588014192,0.0,0.010899780955517045,-7.070618776162928,1.5425438704141925e-12
B_day_of_week_Bike,-0.022501455992377347,0.0,0.015804301699286833,-1.4237551535347317,0.154517361851928
B_day_of_week_Car,0.022089477327134652,0.0,0.008170874523076903,2.703441016594687,0.006862562651206439
B_day_of_week_Public_Transport,-0.033018128255024745,0.0,0.008234658382763601,-4.009653675996655,6.080786779549818e-05
B_distance_Bike,-0.22531495583376154,0.0,0.11092460073457439,-2.031244235648914,0.042230225087097395
B_distance_Car,-0.005133623150410546,0.0,0.10227887227811235,-0.050192410573822295,0.959969059417461
B_distance_Public_Transport,0.0,1.0,0.10238630532385387,0.0,1.0
B_driving_license_Bike,0.7046284908613994,0.0,0.07532462467448198,9.354556944777041,0.0
B_driving_license_Car,0.48424752544728045,0.0,0.04385707636550468,11.041491261559793,0.0
B_driving_license_Public_Transport,-0.3957742801901616,0.0,0.039114258182261503,-10.118414577772743,0.0
B_dur_cycling_Bike,-1.838917768410919,0.0,0.6146629437762222,-2.9917498476700204,0.0027738345411190135
B_dur_driving_Car,-3.408809278236054,0.0,0.22830502758947058,-14.930942670109067,0.0
B_dur_pt_access_Public_Transport,-3.4100354584965027,0.0,0.2030749127717474,-16.792007500844388,0.0
B_dur_pt_bus_Public_Transport,-1.4447943636690888,0.0,0.1078700926993578,-13.393836303597524,0.0
B_dur_pt_int_waiting_Public_Transport,-3.036096214741969,0.0,0.48099509459642936,-6.312114715617533,2.752480465773033e-10
B_dur_pt_int_walking_Public_Transport,-1.876270133333093,0.0,0.7831680269893554,-2.3957440404530135,0.016586668549850137
B_dur_pt_rail_Public_Transport,-1.084591174208646,0.0,0.17228461044058524,-6.295345657601161,3.0671554185346395e-10
B_dur_walking_Walk,-8.171119388073931,0.0,0.42556076746428817,-19.200828677797766,0.0
B_female_Bike,-0.8311809770980473,0.0,0.06312311090326103,-13.167617457445482,0.0
B_female_Car,0.11164719768115053,0.0,0.03033757981097849,3.680161646933613,0.00023308615052219928
B_female_Public_Transport,0.15640261969021432,0.0,0.030487424885580667,5.130069865762474,2.896346598113553e-07
B_fueltype_Avrg_Bike,-0.6798303527300713,0.0,0.09307111619011782,-7.304418175681607,2.7844393457598926e-13
B_fueltype_Avrg_Car,-1.174975071582602,0.0,0.057389801306299386,-20.47358667982757,0.0
B_fueltype_Avrg_Public_Transport,-0.3220455277933203,0.0,0.05228068064928199,-6.1599337230079305,7.277538571770492e-10
B_fueltype_Diesel_Bike,-0.8169792393980659,0.0,0.0969337597698194,-8.428221925344474,0.0
B_fueltype_Diesel_Car,-0.2506087992408032,0.0,0.04863581770694797,-5.152762121752134,2.566774730539123e-07
B_fueltype_Diesel_Public_Transport,-0.3912082994900881,0.0,0.0520490934224447,-7.516140508249286,5.639932965095795e-14
B_fueltype_Hybrid_Bike,-0.9847009974128905,0.0,0.26397911162440635,-3.730223165588718,0.0001913102436084113
B_fueltype_Hybrid_Car,-0.75453011087184,0.0,0.13078635467592592,-5.769180682048077,7.96578625283928e-09
B_fueltype_Hybrid_Public_Transport,-0.9407035821941343,0.0,0.14163859790458252,-6.641576491938001,3.103450829655685e-11
B_fueltype_Petrol_Bike,-0.8642196805596156,0.0,0.08872665486108497,-9.74024865371835,0.0
B_fueltype_Petrol_Car,-0.25882289905680506,0.0,0.04447743483593942,-5.819195734005473,5.913145750824356e-09
B_fueltype_Petrol_Public_Transport,-0.31464642296424716,0.0,0.047110740257756065,-6.678868157085378,2.4079405136490095e-11
B_pt_n_interchanges_Public_Transport,-0.08842195681390665,0.0,0.0526057026448539,-1.6808435657793925,0.09279330400557773
B_purpose_B_Bike,-0.03205686274993825,0.0,0.09961377785869595,-0.3218115349004384,0.7475954752059331
B_purpose_B_Car,-0.06625983391819082,0.0,0.0689455644153391,-0.9610456376719319,0.3365292214670761
B_purpose_B_Public_Transport,-0.053061680390465445,0.0,0.06951152237357515,-0.7633508600962087,0.4452541776377008
B_purpose_HBE_Bike,-1.0359103725163676,0.0,0.08954547665316503,-11.568539375012113,0.0
B_purpose_HBE_Car,-0.6646331477797253,0.0,0.0402938673833623,-16.49464772036646,0.0
B_purpose_HBE_Public_Transport,-0.2708125681911762,0.0,0.037361294271000954,-7.248479301247741,4.214406601477094e-13
B_purpose_HBO_Bike,-0.7711034556158655,0.0,0.06256649642969218,-12.324542680480393,0.0
B_purpose_HBO_Car,-0.3173677189457447,0.0,0.03261000877559433,-9.73221813982663,0.0
B_purpose_HBO_Public_Transport,-0.3968723877246193,0.0,0.03298169085148783,-12.033112235260553,0.0
B_purpose_HBW_Bike,-0.2717898133728343,0.0,0.07434162039472728,-3.6559576174117288,0.0002562236882892588
B_purpose_HBW_Car,-0.9759480211611311,0.0,0.05432991790234409,-17.963362707732408,0.0
B_purpose_HBW_Public_Transport,-0.5697740122715553,0.0,0.05281232397909299,-10.788656308650873,0.0
B_purpose_NHBO_Bike,-1.2348697658449252,0.0,0.08743121639231781,-14.123900098837327,0.0
B_purpose_NHBO_Car,-0.4147281589478691,0.0,0.039094542402306594,-10.608339002412775,0.0
B_purpose_NHBO_Public_Transport,-0.678083183862635,0.0,0.03952034656275599,-17.15782483804586,0.0
B_start_time_linear_Bike,0.016389969562953237,0.0,0.006806036398420269,2.4081519115527312,0.01603350787090907
B_start_time_linear_Car,0.0242936084112025,0.0,0.003911553493126568,6.210731478910244,5.273852465847995e-10
B_start_time_linear_Public_Transport,0.011997479432628846,0.0,0.003919930268355743,3.06063593260329,0.002208674772856911
B_traffic_perc_Car,-1.9470721547604892,0.0,0.09473057348805879,-20.553788318466438,0.0
MU_m,1.390705973989307,0.0,0.06536928779182023,21.274608014978686,0.0
