,LightGBM,NN,DNN,ResLogit
bagging_fraction,0.7523878220170518,,,
bagging_freq,1.0,,,
feature_fraction,0.5299518966666664,,,
lambda_l1,0.008129386712215664,,,
lambda_l2,0.0003918346135010975,,,
max_bin,464.0,,,
min_data_in_leaf,149.0,,,
min_gain_to_split,0.0001100801310832397,,,
min_sum_hessian_in_leaf,16.843167778896923,,,
num_iterations,815.0,,,
num_leaves,21.0,,,
_best_loss,0.7020255688022586,0.7650649743124756,0.7194441682088977,0.8646017244688986
_best_GMPCA,0.4955804541320189,0.46530369720429665,0.4870228835429646,0.42121928055681285
_elapsed_time,246.5804470999865,620.7043961000163,992.0287030999898,1379.6016986999894
activation,,0.0,,
batch_size,,3.0,3.0,1.0
hidden_layer_sizes,,10.0,,
learning_rate,,0.0,,
learning_rate_init,,0.32679332234660824,,
max_iter,,0.0,,
solver,,2.0,,
tol,,0.0,,
depth,,,0.0,3.0
drop,,,2.0,
epochs,,,102.0,201.0
input_dim,,,0.0,0.0
output_dim,,,0.0,0.0
width,,,0.0,
